epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2516.73,0.74219,0.64173,1.21747,0.96233,0.95169,0.98518,0.84099,0.60641,0.44352,1.1779,0.0011882,0.0011882,0.0011882
43,2577.36,0.73234,0.63798,1.20955,0.97957,0.92653,0.98531,0.83474,0.59697,0.45984,1.16766,0.0011684,0.0011684,0.0011684
44,2638.27,0.72619,0.62637,1.20582,0.97092,0.95169,0.98513,0.83091,0.59043,0.46653,1.1778,0.0011486,0.0011486,0.0011486
45,2697.64,0.72115,0.62809,1.2,0.95266,0.97213,0.98788,0.83758,0.60031,0.43587,1.15113,0.0011288,0.0011288,0.0011288
46,2756.97,0.71884,0.61587,1.20101,0.9554,0.94203,0.97985,0.83598,0.58292,0.48055,1.14362,0.001109,0.001109,0.001109
47,2817.56,0.72098,0.62371,1.20579,0.96544,0.96618,0.98419,0.84693,0.54029,0.4093,1.11572,0.0010892,0.0010892,0.0010892
48,2872.4,0.71191,0.60552,1.1922,0.95907,0.95169,0.98676,0.85176,0.55889,0.42184,1.12409,0.0010694,0.0010694,0.0010694
49,2929.77,0.70066,0.60354,1.18216,0.97989,0.94142,0.98879,0.8461,0.57087,0.39932,1.12203,0.0010496,0.0010496,0.0010496
50,2990.07,0.69323,0.60593,1.17603,0.97518,0.94911,0.9886,0.85046,0.5719,0.39688,1.11857,0.0010298,0.0010298,0.0010298
51,3051.08,0.70298,0.59623,1.18968,0.96267,0.94686,0.97442,0.84786,0.55719,0.4095,1.12775,0.00101,0.00101,0.00101
52,3110.1,0.6893,0.58827,1.17735,0.96162,0.97101,0.98734,0.8589,0.52755,0.41696,1.11191,0.0009902,0.0009902,0.0009902
53,3168.23,0.69179,0.58761,1.18129,0.96582,0.95569,0.98542,0.8383,0.56074,0.40382,1.13522,0.0009704,0.0009704,0.0009704
54,3227.37,0.68213,0.58267,1.1756,0.96925,0.94686,0.98599,0.85638,0.55387,0.40809,1.1184,0.0009506,0.0009506,0.0009506
55,3286.09,0.67568,0.57987,1.17183,0.96085,0.94858,0.98093,0.85652,0.52752,0.40648,1.07968,0.0009308,0.0009308,0.0009308
56,3344.43,0.67919,0.57712,1.16675,0.97998,0.9461,0.97966,0.85553,0.54111,0.40737,1.10583,0.000911,0.000911,0.000911
57,3405.83,0.66285,0.56339,1.15821,0.9849,0.94531,0.9849,0.87612,0.50576,0.38557,1.07896,0.0008912,0.0008912,0.0008912
58,3466.91,0.66937,0.56179,1.16284,0.97442,0.95169,0.98621,0.85489,0.54376,0.38391,1.10824,0.0008714,0.0008714,0.0008714
59,3529.28,0.65945,0.5567,1.15687,0.98488,0.94434,0.98686,0.86399,0.49896,0.39125,1.07385,0.0008516,0.0008516,0.0008516
60,3592.03,0.64797,0.54357,1.14577,0.97227,0.94203,0.98414,0.84211,0.53245,0.40616,1.10381,0.0008318,0.0008318,0.0008318
61,3652.46,0.64952,0.54263,1.14652,0.98498,0.95056,0.98553,0.85617,0.52441,0.38282,1.09429,0.000812,0.000812,0.000812
62,3713.09,0.65522,0.55672,1.15966,0.98007,0.95011,0.98789,0.85641,0.53157,0.38215,1.09288,0.0007922,0.0007922,0.0007922
63,3774.88,0.64099,0.53891,1.14255,0.98337,0.94203,0.98958,0.86439,0.52947,0.39251,1.09853,0.0007724,0.0007724,0.0007724
64,3836.23,0.64373,0.53388,1.14285,0.99315,0.94686,0.98894,0.86523,0.5226,0.38902,1.09332,0.0007526,0.0007526,0.0007526
65,3898.89,0.64214,0.5249,1.14265,0.97827,0.94203,0.99018,0.8634,0.51717,0.38192,1.08852,0.0007328,0.0007328,0.0007328
66,3961.29,0.63938,0.53867,1.14786,0.98833,0.94686,0.99072,0.86916,0.50049,0.36661,1.07358,0.000713,0.000713,0.000713
67,4023.53,0.63397,0.5318,1.13987,0.99303,0.95169,0.99071,0.86436,0.51258,0.35395,1.07914,0.0006932,0.0006932,0.0006932
68,4085.59,0.61932,0.51829,1.12439,0.97502,0.94293,0.98639,0.85963,0.49282,0.3696,1.06286,0.0006734,0.0006734,0.0006734
69,4148.02,0.62601,0.51826,1.1327,0.98477,0.9368,0.99074,0.87061,0.49686,0.33502,1.05041,0.0006536,0.0006536,0.0006536
70,4210.18,0.62149,0.50618,1.12495,0.97973,0.94203,0.98631,0.87393,0.49219,0.36257,1.05967,0.0006338,0.0006338,0.0006338
71,4271.91,0.61912,0.51196,1.12916,0.99483,0.92875,0.98962,0.88392,0.47769,0.34691,1.02458,0.000614,0.000614,0.000614
72,4334.18,0.61055,0.49602,1.12307,0.99145,0.94203,0.98661,0.87176,0.50797,0.35072,1.063,0.0005942,0.0005942,0.0005942
73,4396.19,0.60937,0.49744,1.12168,0.98483,0.95169,0.98927,0.8719,0.50688,0.34583,1.06843,0.0005744,0.0005744,0.0005744
74,4458.39,0.61345,0.49787,1.1298,0.96586,0.9567,0.98742,0.86908,0.49388,0.35303,1.04479,0.0005546,0.0005546,0.0005546
75,4520.74,0.61183,0.51342,1.12938,0.99489,0.94087,0.9861,0.87518,0.4822,0.35891,1.04137,0.0005348,0.0005348,0.0005348
76,4582.87,0.59872,0.49784,1.11729,0.98984,0.94122,0.98886,0.8851,0.46768,0.34471,1.04285,0.000515,0.000515,0.000515
77,4645.2,0.59829,0.48682,1.10961,0.98475,0.93579,0.97872,0.87381,0.4711,0.34789,1.03673,0.0004952,0.0004952,0.0004952
78,4709.62,0.58723,0.48231,1.10532,0.99489,0.93984,0.98799,0.88207,0.46032,0.34129,1.03067,0.0004754,0.0004754,0.0004754
79,4772.37,0.59048,0.48776,1.10463,0.97754,0.92271,0.97715,0.87467,0.45753,0.35499,1.02181,0.0004556,0.0004556,0.0004556
80,4834.87,0.58799,0.47899,1.10235,0.97787,0.9372,0.97878,0.87965,0.45989,0.36402,1.00601,0.0004358,0.0004358,0.0004358
81,4897,0.58471,0.4772,1.10892,0.96995,0.95169,0.98088,0.87995,0.45664,0.34869,1.0158,0.000416,0.000416,0.000416
82,4959.84,0.57498,0.47295,1.09648,0.98801,0.9372,0.98378,0.87969,0.46698,0.35889,1.01585,0.0003962,0.0003962,0.0003962
83,5023.32,0.58311,0.47191,1.10581,0.98466,0.93034,0.98405,0.87206,0.4722,0.35475,1.01729,0.0003764,0.0003764,0.0003764
84,5087.26,0.57473,0.46587,1.09309,0.98158,0.94203,0.98416,0.87539,0.46422,0.35105,1.01217,0.0003566,0.0003566,0.0003566
85,5153.78,0.57184,0.46108,1.09327,0.96188,0.94686,0.98289,0.88341,0.44903,0.3454,1.00183,0.0003368,0.0003368,0.0003368
86,5215.98,0.5714,0.47041,1.09626,0.98549,0.94203,0.98256,0.87902,0.44514,0.33244,0.9924,0.000317,0.000317,0.000317
87,5276.24,0.56553,0.45636,1.08693,0.98322,0.95652,0.98849,0.8757,0.45487,0.32619,1.00098,0.0002972,0.0002972,0.0002972
88,5332.27,0.56032,0.45366,1.08871,0.97353,0.95169,0.98736,0.87809,0.44124,0.3345,0.98238,0.0002774,0.0002774,0.0002774
89,5388.05,0.55596,0.44609,1.08968,0.96456,0.96135,0.98652,0.88626,0.44418,0.33611,0.99323,0.0002576,0.0002576,0.0002576
90,5443.66,0.55353,0.44855,1.0848,0.97058,0.95618,0.98451,0.88947,0.4331,0.32623,0.98053,0.0002378,0.0002378,0.0002378
91,5499.65,0.43767,0.28536,0.95407,0.9839,0.94686,0.98359,0.88478,0.44059,0.32868,0.99182,0.000218,0.000218,0.000218
92,5559,0.42628,0.2763,0.93744,0.96938,0.96135,0.97883,0.88734,0.44349,0.33213,0.99502,0.0001982,0.0001982,0.0001982
93,5622.56,0.41681,0.26413,0.93681,0.96585,0.95633,0.97967,0.88957,0.44716,0.32907,0.99351,0.0001784,0.0001784,0.0001784
94,5679.88,0.41347,0.26566,0.92977,0.96366,0.95652,0.98502,0.89341,0.43871,0.32376,0.98627,0.0001586,0.0001586,0.0001586
95,5734.39,0.41173,0.26157,0.92765,0.9598,0.95652,0.9876,0.89445,0.43798,0.31014,0.98207,0.0001388,0.0001388,0.0001388
96,5791.94,0.40857,0.25976,0.92287,0.9585,0.94686,0.98512,0.89619,0.43655,0.3263,0.98067,0.000119,0.000119,0.000119
97,5846.55,0.40487,0.25712,0.92474,0.96116,0.95649,0.98544,0.89204,0.43676,0.32241,0.98002,9.92e-05,9.92e-05,9.92e-05
98,5899.13,0.39817,0.24969,0.91229,0.97735,0.94203,0.98759,0.89548,0.43381,0.31377,0.97601,7.94e-05,7.94e-05,7.94e-05
99,5954.44,0.39912,0.2522,0.91696,0.97503,0.94313,0.98659,0.89236,0.43376,0.31268,0.9785,5.96e-05,5.96e-05,5.96e-05
100,6015.97,0.39962,0.24926,0.91652,0.97508,0.94495,0.98715,0.89411,0.43189,0.31605,0.97671,3.98e-05,3.98e-05,3.98e-05
